space_error,speed_error,ego_speed,ego_acceleration,front_speed,front_acceleration,reward
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,3.31654898744584e-06
8,0,0,0,0,0,2.91435259260576e-05
8,0,0,0,0,0,0.000128706818063257
8,0,0,0,0,0,0.000397257764608409
8.00000165,1.65e-05,0,0,1.65e-05,0.000165286,0.000984992432134032
8.000011,9.33e-05,0,0,9.33e-05,0.000767435,0.00210933147894263
8.000041,0.000300209,0,0,0.000300209,0.002069366,0.00406238018258432
8.000115324,0.000743228,0,0,0.000743228,0.004430191,0.00720419240613706
8.000272643,0.001573193,0,0,0.001573193,0.008299648,0.0119395704638156
8.000571849,0.002992058,0,0,0.002992058,0.014188652,0.0186836630753335
8.001097191,0.00525342,0,0,0.00525342,0.022613618,0.0278421625951103
8.001962737,0.008655463,0,0,0.008655463,0.034020436,0.0398414957349343
8.003315311,0.013525741,0,0,0.013525741,0.048702773,0.055160574121575
8.005335234,0.020199227,0,0,0.020199227,0.066734869,0.0743227183133978
8.008244343,0.029091087,0,0,0.029091087,0.0889186,0.0979019007973997
8.012316446,0.040721032,0,0,0.040721032,0.116299451,0.126605786625282
8.017883635,0.055671896,0,0,0.055671896,0.149508635,0.161426259978784
8.025345253,0.074616173,0,0,0.074616173,0.189442766,0.203645851787257
8.035179341,0.098340883,0,0,0.098340883,0.237247106,0.254300230739223
8.047954901,0.127755601,0,0,0.127755601,0.294147183,0.313456757584029
8.064341642,0.163867413,0,0,0.163867413,0.361118113,0.380538305859939
8.085112794,0.207711512,0,0,0.207711512,0.438440995,0.455162996356768
8.111136466,0.26023672,0,0,0.26023672,0.525252073,0.537158857691436
8.143352312,0.322158462,0,0,0.322158462,0.61921742,0.625559368707393
8.182741464,0.393891521,0,0,0.393891521,0.71733059,0.717816192938463
8.230290281,0.475488172,0,0,0.475488172,0.815966518,0.810382494277164
8.286946521,0.566562396,0,0,0.566562396,0.910742232,0.898976658249692
8.353579182,0.666326618,0,0,0.666326618,0.997642222,0.978933036580524
8.430948308,0.773691254,0,0,0.773691254,1.073646359,1.04861284516238
8.519688336,0.887400285,0,0,0.887400285,1.137090316,1.1095953800126
8.620304985,1.00616649,0,0,1.00616649,1.187662046,1.1624965479078
8.733182117,1.128771313,0,0,1.128771313,1.226048229,1.20576618971347
8.858592732,1.254106151,0,0,1.254106151,1.253348386,1.23659302061968
8.996707712,1.381149805,0,0,1.381149805,1.270436537,1.25428609876095
9.147600274,1.508925615,0,0,1.508925615,1.277758101,1.2603779994507
9.31124802,1.636477461,0,0,1.636477461,1.275518454,1.25650271683923
9.487530671,1.762826513,0,0,1.762826513,1.263490522,1.24511911454043
9.676225163,1.886944916,0,0,1.886944916,1.241184033,1.22747143068663
9.877003237,2.007780739,0,0,2.007780739,1.208358224,1.20277371572845
10.089435478,2.124322416,0,0,2.124322416,1.165416773,1.17050551443662
10.313003481,2.235680031,0,0,2.235680031,1.113576151,1.05034394932333
10.547119226,2.341157443,0,0,2.341157443,1.054774123,0.941069951387749
10.791148633,2.440294072,0,0,2.440294072,0.991366289,0.844605265788808
11.044435217,2.532865838,0,0,2.532865838,0.925717663,0.743379790928187
11.3065825704773,2.60035923103299,0.0184864809670057,0.221928193589766,2.618845712,0.859798739,0.637870545410234
11.5786151346836,2.63423308646628,0.0641359995337246,0.674730452355595,2.698369086,0.795233732,0.514103001011175
11.8621706675902,2.66066120617304,0.111033434826955,0.412087044850417,2.771694641,0.73325555,0.399655681580941
12.1629558046344,2.64973221090975,0.189413314090249,0.603006570060911,2.839145525,0.674508844,0.294374591128514
12.4706369675873,2.65868272611004,0.242390439889956,0.572022015441415,2.901073166,0.619276411,0.161754554423983
12.6914861377124,2.65430798569771,0.303534178302289,0.54865715458506,2.957842164,0.567689978,0.0156872701826837
13.023098246054,2.65734398595249,0.35248454004751,0.541011095528184,3.009828526,0.519863617,0.0231283165147837
13.3648941486458,2.64763561513949,0.409785400860514,0.49786405804236,3.057421016,0.475924904,0.0349845509712434
13.5205918741817,2.64237417353001,0.458642803469989,0.485144301257081,3.101016977,0.435959613,0.0490670075651103
13.5479549559646,2.60962463472507,0.491392342274934,0.464335042591741,3.101016977,0.435959613,0.0633655954825775
14.050228718243,2.62652056679602,0.551227699203985,0.456883000342225,3.177748266,0.367398275,0.0787032914054721
14.4271712675952,2.6157335410465,0.595799460953502,0.43273881537722,3.211533002,0.337847359,0.0948048587026902
14.6054313202716,2.60899459751005,0.633607033489947,0.416380230530769,3.242601631,0.31068629,0.109954111355118
